,datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,%k,%d,macd,macd_signal,macd_hist,RSI_14,RSI_14_A_50,RSI_14_B_55,EMA10,EMA30,ATR,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,Return,OBV,OBV_EMA,RSI_14_A_41,RSI_14_B_51,Buy,Sell,RSI_31,RSI_31_A_41,RSI_31_B_51,RSI_14_B_56,RSI_31_B_56,RSI_14_A_46,RSI_31_A_46,prediction
2022-04-04 08:00:00,1649030400000.0,1.186,1.245,1.16,1.212,253235570.3,1649116799999.0,304882047.6727,472893.0,128560129.0,154965917.2483,0.0,89.97050147492625,83.51497133585444,0.07860738747436469,0.06939908478667875,0.009208302687685938,71.61008580303685,1,0,1.1529136296486704,1.0008807755645055,0.08500000000000019,1,1,-1,-0.03382838283828382,650486132.6,242567913.64998567,1,0,0,0,67.62312643380999,1,0,0,0,1,1,0
2022-04-05 08:00:00,1649116800000.0,1.212,1.219,1.163,1.171,108831679.5,1649203199999.0,130155835.1592,204197.0,52266781.6,62537391.321,0.0,74.04844290657441,82.78438267895105,0.07536206673723389,0.07059168117678978,0.00477038556044411,64.29316078647263,1,0,1.1562020606216392,1.0118562093990535,0.05600000000000005,1,1,-1,-0.10162254483347566,541654453.1,271850042.4490222,1,0,0,0,63.38991286600819,1,0,0,0,1,1,0
2022-04-06 08:00:00,1649203200000.0,1.17,1.173,1.047,1.052,206766772.7,1649289599999.0,229948472.4843,353472.0,85414458.7,95170549.3211,0.0,2.512562814070409,55.51050239852369,0.06246773206583822,0.06896689135459948,-0.006499159288761255,48.72997812208265,0,1,1.1372562314177048,1.0144461313733082,0.1260000000000001,-1,1,1,0.03517110266159684,334887680.40000004,278005338.4351608,1,1,0,0,53.36977204019576,1,0,1,1,1,1,0
2022-04-07 08:00:00,1649289600000.0,1.052,1.101,1.038,1.089,99287570.5,1649375999999.0,106736899.8868,173322.0,50645926.1,54451137.5182,0.0,24.51923076923074,33.69341216329185,0.0546050170718293,0.06609451649804544,-0.011489499426216146,52.57403053907685,1,1,1.1284823711599403,1.0192560583814818,0.06299999999999994,-1,1,1,-0.05968778696051413,434175250.90000004,293217902.655697,1,0,0,0,55.62350210310282,1,0,1,1,1,1,0
2022-04-08 08:00:00,1649376000000.0,1.089,1.1,1.019,1.024,88048109.3,1649462399999.0,93952128.1717,143736.0,40275676.9,43031304.8482,0.0,2.2026431718062174,9.744812251702456,0.042637305699636086,0.061403074338363575,-0.01876576863872749,46.042947152594984,0,1,1.1094855764035874,1.0195621191310638,0.08100000000000018,-1,1,1,0.0205078125,346127141.6,298360638.3143804,1,1,0,0,51.13686892165388,1,0,1,1,1,1,0
2022-04-09 08:00:00,1649462400000.0,1.025,1.047,1.021,1.045,49693999.1,1649548799999.0,51363885.971,77809.0,25006049.9,25860086.5196,0.0,11.453744493392076,12.725206144809677,0.03445021210946031,0.056012501892582924,-0.021562289783122614,48.27845434766744,0,1,1.0977609261483896,1.0212032727355114,0.026000000000000023,-1,1,1,-0.017224880382775143,395821140.70000005,307815179.76620936,1,1,0,0,52.41816586736092,1,0,1,1,1,1,0
2022-04-10 08:00:00,1649548800000.0,1.044,1.07,1.023,1.027,51995282.7,1649635199999.0,54357960.7317,92974.0,24892400.3,26041995.9389,0.0,3.5242290748898695,5.726872246696054,0.02620733009881593,0.050051467533829525,-0.023844137435013596,46.50009474957063,0,1,1.0848953032123188,1.021577255139672,0.04700000000000015,-1,1,1,-0.10418695228821795,343825858.00000006,311302362.7057545,1,1,0,0,51.22836938589853,1,0,1,1,1,1,0
2022-04-11 08:00:00,1649635200000.0,1.026,1.033,0.917,0.92,159034131.6,1649721599999.0,154099625.6197,236922.0,72693182.2,70433193.6254,0.0,0.914634146341464,5.2975359048744695,0.010914960089350334,0.04222416604493369,-0.031309205955583355,37.627220607155046,0,1,1.0549143389918971,1.0150238838403385,0.11599999999999988,-1,1,1,0.0380434782608694,184791726.40000007,299070955.4684795,0,1,0,0,44.959818944535094,1,1,1,1,0,0,-1
2022-04-12 08:00:00,1649721600000.0,0.919,0.982,0.915,0.955,115179052.5,1649807999999.0,109425977.488,167562.0,57693607.0,54813130.4514,0.0,12.121212121212094,5.520025114147809,0.0016013942974402173,0.034099611695434996,-0.03249821739799478,41.555675551405265,0,1,1.0367480955388249,1.011151375205478,0.06699999999999995,-1,1,1,0.019895287958115127,299970778.9000001,299157827.4431233,1,1,0,0,47.14586964281494,1,1,1,1,0,1,1
2022-04-13 08:00:00,1649808000000.0,0.954,0.981,0.934,0.974,83269578.6,1649894399999.0,79890065.9798,112129.0,43065996.8,41359045.2459,0.0,17.878787878787858,10.304878048780472,-0.0041981389503233935,0.02644006156628332,-0.030638200516606713,43.631236208806925,0,1,1.025339350895402,1.0087545122889956,0.04699999999999993,-1,1,1,-0.04209445585215599,383240357.5000001,307264855.35430264,1,1,0,0,48.29777190441408,1,1,1,1,0,1,0
